================================================================================
RECIPE SCRIPT - LEXICAL ANALYSIS (TOKENIZATION)
================================================================================
   1. Token(TokenType.RECIPE, recipe, 3:1)
   2. Token(TokenType.IDENTIFIER, make_dough, 3:8)
   3. Token(TokenType.LPAREN, (, 3:18)
   4. Token(TokenType.INGREDIENT, ingredient, 3:19)
   5. Token(TokenType.IDENTIFIER, flour, 3:30)
   6. Token(TokenType.COMMA, ,, 3:35)
   7. Token(TokenType.INGREDIENT, ingredient, 3:37)
   8. Token(TokenType.IDENTIFIER, water, 3:48)
   9. Token(TokenType.RPAREN, ), 3:53)
  10. Token(TokenType.RETURNS, returns, 3:55)
  11. Token(TokenType.INGREDIENT, ingredient, 3:63)
  12. Token(TokenType.LBRACE, {, 3:74)
  13. Token(TokenType.QUANTITY, quantity, 4:5)
  14. Token(TokenType.IDENTIFIER, mix_time, 4:14)
  15. Token(TokenType.ASSIGN, =, 4:23)
  16. Token(TokenType.NUMBER, 2, 4:25)
  17. Token(TokenType.SEMICOLON, ;, 4:26)
  18. Token(TokenType.MIX, mix, 5:5)
  19. Token(TokenType.IDENTIFIER, flour, 5:9)
  20. Token(TokenType.WITH, with, 5:15)
  21. Token(TokenType.IDENTIFIER, water, 5:20)
  22. Token(TokenType.SEMICOLON, ;, 5:25)
  23. Token(TokenType.WAIT, wait, 6:5)
  24. Token(TokenType.IDENTIFIER, mix_time, 6:10)
  25. Token(TokenType.MINUTES, minutes, 6:19)
  26. Token(TokenType.SEMICOLON, ;, 6:26)
  27. Token(TokenType.RETURN, return, 7:5)
  28. Token(TokenType.IDENTIFIER, flour, 7:12)
  29. Token(TokenType.SEMICOLON, ;, 7:17)
  30. Token(TokenType.RBRACE, }, 8:1)
  31. Token(TokenType.INPUT, input, 10:1)
  32. Token(TokenType.IDENTIFIER, people, 10:7)
  33. Token(TokenType.SEMICOLON, ;, 10:13)
  34. Token(TokenType.SERVE, serve, 11:1)
  35. Token(TokenType.STRING, === Quick Recipe ===, 11:7)
  36. Token(TokenType.SEMICOLON, ;, 11:29)
  37. Token(TokenType.QUANTITY, quantity, 13:1)
  38. Token(TokenType.IDENTIFIER, servings, 13:10)
  39. Token(TokenType.ASSIGN, =, 13:19)
  40. Token(TokenType.IDENTIFIER, people, 13:21)
  41. Token(TokenType.DIVIDE, /, 13:28)
  42. Token(TokenType.NUMBER, 2, 13:30)
  43. Token(TokenType.SEMICOLON, ;, 13:31)
  44. Token(TokenType.INGREDIENT, ingredient, 14:1)
  45. Token(TokenType.IDENTIFIER, flour, 14:12)
  46. Token(TokenType.ASSIGN, =, 14:18)
  47. Token(TokenType.IDENTIFIER, servings, 14:20)
  48. Token(TokenType.MULTIPLY, *, 14:29)
  49. Token(TokenType.NUMBER, 100, 14:31)
  50. Token(TokenType.GRAMS, grams, 14:35)
  51. Token(TokenType.SEMICOLON, ;, 14:40)
  52. Token(TokenType.INGREDIENT, ingredient, 15:1)
  53. Token(TokenType.IDENTIFIER, water, 15:12)
  54. Token(TokenType.ASSIGN, =, 15:18)
  55. Token(TokenType.IDENTIFIER, servings, 15:20)
  56. Token(TokenType.MULTIPLY, *, 15:29)
  57. Token(TokenType.NUMBER, 50, 15:31)
  58. Token(TokenType.ML, ml, 15:34)
  59. Token(TokenType.SEMICOLON, ;, 15:36)
  60. Token(TokenType.INGREDIENT, ingredient, 16:1)
  61. Token(TokenType.IDENTIFIER, cheese, 16:12)
  62. Token(TokenType.ASSIGN, =, 16:19)
  63. Token(TokenType.IDENTIFIER, servings, 16:21)
  64. Token(TokenType.MULTIPLY, *, 16:30)
  65. Token(TokenType.NUMBER, 30, 16:32)
  66. Token(TokenType.GRAMS, grams, 16:35)
  67. Token(TokenType.SEMICOLON, ;, 16:40)
